,phone,email,address,url,hobby,sum,threshold
0,153407,153396,153394,153765,153104,151390,0.54
1,153407,153398,153394,153769,153140,151432,0.59
2,153407,153400,153395,153770,153178,151474,0.64
3,153408,153401,153397,153771,153216,151517,0.69
4,153408,153404,153398,153774,153252,151560,0.74
5,153409,153406,153398,153775,153279,151591,0.79
6,153410,153408,153404,153777,153318,151641,0.84
7,153411,153412,153410,153778,153352,151687,0.89
8,153415,153414,153413,153779,153381,151726,0.94
9,153418,153418,153418,153780,153416,151774,0.99
