phone,email,address,url,hobby,sum,threshold
153407,153396,153394,153765,153104,151390,0.54
153407,153398,153394,153769,153140,151432,0.59
153407,153400,153395,153770,153178,151474,0.64
153408,153401,153397,153771,153216,151517,0.69
153408,153404,153398,153774,153252,151560,0.74
153409,153406,153398,153775,153279,151591,0.79
153410,153408,153404,153777,153318,151641,0.84
153411,153412,153410,153778,153352,151687,0.89
153411,153412,153410,153778,153354,151689,0.9
153412,153413,153411,153778,153360,151698,0.91
153413,153413,153412,153778,153368,151708,0.92
153414,153414,153413,153778,153377,151720,0.93
153415,153414,153413,153779,153381,151726,0.94
153415,153415,153414,153779,153389,151736,0.95
153415,153415,153415,153779,153393,151741,0.96
153416,153415,153417,153779,153403,151754,0.97
153416,153416,153417,153779,153412,151764,0.98
153418,153418,153418,153780,153416,151774,0.99
