phone,email,address,url,hobby,sum,threshold
236,437,346,60,28,1107,0.54
232,434,343,58,28,1095,0.59
231,430,340,58,28,1087,0.64
229,429,337,58,27,1080,0.69
226,424,335,57,27,1069,0.74
223,418,332,55,24,1052,0.79
217,413,318,49,22,1019,0.84
209,404,292,43,17,965,0.89
207,398,287,43,16,951,0.9
205,391,278,41,15,930,0.91
202,385,267,39,13,906,0.92
197,374,254,36,12,873,0.93
194,360,238,33,10,835,0.94
185,350,211,27,9,782,0.95
178,326,168,23,8,703,0.96
167,300,118,17,6,608,0.97
148,253,58,9,3,471,0.98
111,179,8,5,2,305,0.99
