,phone,email,address,url,hobby,sum,threshold
0,153411,153412,153410,153778,153352,151687,0.89
1,153411,153412,153410,153778,153354,151689,0.9
2,153412,153413,153411,153778,153360,151698,0.91
3,153413,153413,153412,153778,153368,151708,0.92
4,153414,153414,153413,153778,153377,151720,0.93
5,153415,153414,153413,153779,153381,151726,0.94
6,153415,153415,153414,153779,153389,151736,0.95
7,153415,153415,153415,153779,153393,151741,0.96
8,153416,153415,153417,153779,153403,151754,0.97
9,153416,153416,153417,153779,153412,151764,0.98
